SOL_ID,PROCEDURE,START_TIME,END_TIME,EXECUTION_SECONDS,STATUS,ERROR_DETAILS
0019,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0019,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0018,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0020,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.002,SUCCESS,-
0019,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.002,SUCCESS,-
0020,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.003,SUCCESS,-
0019,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.003,SUCCESS,-
0019,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0020,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0001,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.397,SUCCESS,-
0005,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.041,SUCCESS,-
0010,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.397,SUCCESS,-
0011,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.041,SUCCESS,-
0006,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.397,SUCCESS,-
0010,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.057,SUCCESS,-
